start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,mina,maxa
1533083400,1533086400,1533093900,1533091500,2.8181818173633637e-05,0.0006974940646405896,0.0004683090909090515,1.1688359659090906,-0.00018609318181855183,0.00028221590909049965
1533087300,1533087600,1533092400,1533090900,9.352272700025557e-05,0.0010839702076970983,0.0004541943548388927,1.1689386363636365,-0.0002166283724341289,0.0002375659824047638
1533087600,1533087900,1533093300,1533091500,0.00010147727237914283,0.0009316754116090104,0.0004471274193548602,1.1689351136363635,-0.00019968607038093998,0.00024744134897392023
1533087900,1533088200,1533094500,1533092400,6.954545443417319e-05,0.0007358994551628263,0.00046129794721438966,1.168906022727273,-0.00019591304985355773,0.00026538489736083193
1533088800,1533090900,1533095400,1533094200,-0.00013590909007218718,0.0010615304216977349,0.0006725410557185229,1.1687545454545454,-0.00036161730205270804,0.00031092375366581493
1533090600,1533093900,1533101700,1533099300,-0.00030443180877628794,0.0007102657769449568,0.0006164692082114698,1.1686571590909094,-0.00034039516129048765,0.00027607404692098214
1533091200,1533094500,1533102900,1533100500,-0.0003703408921590046,0.000535539653776891,0.0005968117302051468,1.1686229545454552,-0.00034365923753703953,0.00025315249266810724
1533091500,1533095400,1533104100,1533103200,-0.0004580681497811002,0.0006064102768469797,0.0006131120234606868,1.1685653409090906,-0.0003227821114368634,0.0002903299120238234
1533098100,1533101700,1533108000,1533106500,-0.0005139204092997859,0.0004139969237136772,0.0005585428885628474,1.168168352272728,-0.0002413471407620893,0.0003171957478007581
1533102900,1533103200,1533105300,1533104400,-0.0007878407460877683,0.0004859054456322876,0.0005440043255132076,1.1677110795454548,-0.00024049809384179443,0.0003035062316714132
1533102000,1533103800,1533108300,1533107400,-0.0008125566393551701,0.000621789501222546,0.00042726719208252106,1.1677334090909077,-0.00021217554985508257,0.00021509164222743848
1533103800,1533104100,1533106500,1533105600,-0.0006706248994639061,0.0005487655252580714,0.0005120157258062096,1.1677068750000001,-0.00026542298387092876,0.0002465927419352809
1533105600,1533107400,1533112200,1533110700,-0.00037767043658961633,0.0004286017342432256,0.0005585408357775545,1.1677383522727272,-0.00023125894428188687,0.00032728189149566767
1533105900,1533107700,1533111900,1533110700,-0.00036090907523924124,0.0004473094581392205,0.0005500844574782704,1.1677301704545455,-0.0002251815982406846,0.00032490285923758577
1533107400,1533107700,1533112800,1533111000,-0.00024988635843519716,0.0003544307812655503,0.0004940717008799567,1.1677300568181819,-0.00019861532258087067,0.000295456378299086
1533107700,1533108000,1533113100,1533111300,-0.0001839772706519437,0.000376309617098682,0.00047083731671591076,1.1677505113636362,-0.00018476143695032033,0.00028607587976559046
1533108000,1533108300,1533110700,1533109200,-3.11931818094272e-05,0.0004037980225092585,0.0006787502932555967,1.1678315909090902,-0.0001703412023458295,0.0005084090909097672
1533106800,1533109200,1533113700,1533112800,-0.0002494886311884314,0.0002819960904547111,0.0004938710410565505,1.1677468181818178,-0.0001989773460416533,0.00029489369501489726
1533109200,1533109500,1533114600,1533112500,0.00027676135657195094,0.00036143023448623543,0.0009692639296181938,1.168014318181819,-0.00025358211143714724,0.0007156818181810465
1533110100,1533110400,1533115200,1533113700,0.0006815908035435935,0.00041445699798850114,0.0010771706744865384,1.1683164204545458,-0.00041160432551334836,0.00066556634897319
1533111000,1533111300,1533115800,1533114300,0.001139374506962799,0.0003847207816445156,0.0011303709677423334,1.1686668749999993,-0.0004972459677416551,0.0006331250000006783
1533114300,1533116100,1533121200,1533120000,0.0011501699473628496,0.000498026702598889,0.001228409090909226,1.168929147727273,-0.0004494318181818713,0.0007789772727273547
1533114600,1533117000,1533122400,1533121200,0.0011545449415525518,0.000665727334279028,0.0012294703812316587,1.1689491477272729,-0.0004316972873901115,0.0007977730938415473
1533114900,1533117300,1533122700,1533121200,0.001013067835245743,0.0006137973447174611,0.0012339647360704476,1.1688927840909091,-0.0004019137829911923,0.0008320509530792553
1533115800,1533119100,1533125100,1533123600,0.00053914767503351,0.00033520036613654184,0.0013640428152496753,1.1686973863636365,-0.0004831593841645088,0.0008808834310851665
1533119400,1533119700,1533124200,1533122700,-0.0009927837647409061,0.0007429614139830982,0.0007483113269794561,1.1679301704545453,-0.00026493706011772035,0.0004833742668617358
1533119700,1533120000,1533124800,1533123300,-0.0009474997164584607,0.0007416078806446038,0.0007651354838714042,1.1679406250000002,-0.00029213145161315345,0.0004730040322582507
1533116400,1533120000,1533126000,1533124800,0.00022079545095703598,0.00019938112185925302,0.0014545638563052687,1.1685722727272725,-0.0005986327712612649,0.0008559310850440038
1533120000,1533120300,1533125100,1533123600,-0.0008396020754387568,0.0006375560143654997,0.0008096288489733983,1.1679823863636367,-0.00028201521261017604,0.0005276136363632222
1533123000,1533126900,1533130200,1533129300,-0.00012210227212010327,0.0014000471105934736,0.0010021403225806934,1.1682411363636367,-0.0003714401759532215,0.000630700146627472
