2018-09-18 18:28:47.623808 Found interval {'miny': 244, 'maxy': 255, 'amplitude': 0.43530891034461294, 'center': 252, 'trend': 0.03061857612232201}
2018-09-18 18:28:52.898153 Found interval {'miny': 227, 'maxy': 232, 'amplitude': 0.4023502152262277, 'center': 230, 'trend': -0.021803054681952865}
2018-09-18 18:28:53.148852 Found interval {'miny': 227, 'maxy': 235, 'amplitude': 0.6100651903598602, 'center': 233, 'trend': -0.02484554832912235}
2018-09-18 18:29:01.832497 Found interval {'miny': 226, 'maxy': 235, 'amplitude': 1.3440507286782506, 'center': 232, 'trend': 0.04738508029886886}
2018-09-18 18:29:02.087578 Found interval {'miny': 216, 'maxy': 225, 'amplitude': 1.2938343399551837, 'center': 222, 'trend': 0.04597806629171283}
2018-09-18 18:29:02.341292 Found interval {'miny': 218, 'maxy': 224, 'amplitude': 1.2289065038620275, 'center': 222, 'trend': 0.046044605526029764}
2018-09-18 18:29:08.053420 Found interval {'miny': 225, 'maxy': 235, 'amplitude': 1.0277807430927084, 'center': 232, 'trend': 0.02865806454588573}
2018-09-18 18:29:08.309229 Found interval {'miny': 229, 'maxy': 239, 'amplitude': 1.2915642359732327, 'center': 236, 'trend': 0.030237843753380747}
2018-09-18 18:29:08.561820 Found interval {'miny': 230, 'maxy': 239, 'amplitude': 1.5781707098112638, 'center': 236, 'trend': 0.03352584603167937}
2018-09-18 18:29:08.817582 Found interval {'miny': 231, 'maxy': 241, 'amplitude': 1.38853572825772, 'center': 238, 'trend': 0.033250931388868483}
2018-09-18 18:29:09.070836 Found interval {'miny': 232, 'maxy': 241, 'amplitude': 1.5131656118865662, 'center': 238, 'trend': 0.03567270448219478}
2018-09-18 18:29:09.326554 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 1.0200992089815102, 'center': 239, 'trend': 0.0341900460312866}
2018-09-18 18:29:09.592288 Found interval {'miny': 232, 'maxy': 243, 'amplitude': 0.8127384992095521, 'center': 240, 'trend': 0.03263610246136838}
2018-09-18 18:29:09.845404 Found interval {'miny': 233, 'maxy': 247, 'amplitude': 0.5051099284321435, 'center': 243, 'trend': 0.02976760860232951}
2018-09-18 18:29:12.594225 Found interval {'miny': 247, 'maxy': 258, 'amplitude': 0.7516442665409259, 'center': 255, 'trend': 0.016274149056732492}
2018-09-18 18:29:12.850297 Found interval {'miny': 243, 'maxy': 248, 'amplitude': 0.7893065361304994, 'center': 246, 'trend': 0.01800813822717619}
2018-09-18 18:29:15.095497 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 1.435146896584812, 'center': 239, 'trend': 0.03807900061142173}
2018-09-18 18:29:15.351849 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 1.2198952536464482, 'center': 239, 'trend': 0.03829776357464441}
2018-09-18 18:29:15.618129 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 1.2735555240953518, 'center': 239, 'trend': 0.04294510975894013}
2018-09-18 18:29:15.878515 Found interval {'miny': 214, 'maxy': 224, 'amplitude': 1.0023889606313565, 'center': 221, 'trend': 0.043646187073246516}
2018-09-18 18:29:18.368070 Found interval {'miny': 242, 'maxy': 247, 'amplitude': 1.3860758889896205, 'center': 245, 'trend': 0.013796599593017775}
2018-09-18 18:29:20.913374 Found interval {'miny': 232, 'maxy': 242, 'amplitude': 1.4935770292344315, 'center': 239, 'trend': -0.002633852960454941}
2018-09-18 18:29:21.166071 Found interval {'miny': 233, 'maxy': 243, 'amplitude': 1.4652340705163092, 'center': 240, 'trend': -0.006059135752840501}
2018-09-18 18:29:21.423235 Found interval {'miny': 215, 'maxy': 224, 'amplitude': 1.4193009897377005, 'center': 221, 'trend': -0.008479929706189713}
2018-09-18 18:29:21.675098 Found interval {'miny': 217, 'maxy': 223, 'amplitude': 1.4085357142426544, 'center': 221, 'trend': -0.010441696915243149}
2018-09-18 18:29:26.869556 Found interval {'miny': 228, 'maxy': 240, 'amplitude': 0.9097446423478457, 'center': 237, 'trend': -0.017311351715883844}
2018-09-18 18:29:27.121057 Found interval {'miny': 228, 'maxy': 241, 'amplitude': 0.9197904267523184, 'center': 237, 'trend': -0.015205842054599326}
2018-09-18 18:29:27.378333 Found interval {'miny': 229, 'maxy': 244, 'amplitude': 0.9534902879314257, 'center': 240, 'trend': -0.0129055390095075}
2018-09-18 18:29:27.639543 Found interval {'miny': 229, 'maxy': 244, 'amplitude': 0.8729885889141665, 'center': 240, 'trend': -0.011806865565039036}
2018-09-18 18:29:27.892335 Found interval {'miny': 230, 'maxy': 245, 'amplitude': 0.8087636708839353, 'center': 241, 'trend': -0.011206110281677468}
2018-09-18 18:29:32.374535 Found interval {'miny': 227, 'maxy': 235, 'amplitude': 0.6440919397253786, 'center': 233, 'trend': -0.046835794985808234}
2018-09-18 18:29:36.372273 Found interval {'miny': 238, 'maxy': 245, 'amplitude': 0.9812661467907307, 'center': 243, 'trend': -0.028780830328317263}
2018-09-18 18:29:36.641755 Found interval {'miny': 238, 'maxy': 246, 'amplitude': 1.0129572106516258, 'center': 244, 'trend': -0.023985274890076222}
2018-09-18 18:29:36.893317 Found interval {'miny': 236, 'maxy': 243, 'amplitude': 0.8412533710935595, 'center': 241, 'trend': -0.013838816659711045}
2018-09-18 18:29:38.130930 Found interval {'miny': 239, 'maxy': 250, 'amplitude': 1.0320976839140759, 'center': 247, 'trend': 0.02366240632731762}
2018-09-18 18:29:40.617043 Found interval {'miny': 227, 'maxy': 236, 'amplitude': 0.7544023566682949, 'center': 233, 'trend': 0.06035762065162165}
2018-09-18 18:29:40.867154 Found interval {'miny': 227, 'maxy': 236, 'amplitude': 1.0078140733796253, 'center': 233, 'trend': 0.06493127977978404}
2018-09-18 18:29:41.116075 Found interval {'miny': 223, 'maxy': 232, 'amplitude': 0.9728331047527515, 'center': 229, 'trend': 0.06396832308704063}
2018-09-18 18:29:41.369423 Found interval {'miny': 225, 'maxy': 235, 'amplitude': 1.190417323152411, 'center': 232, 'trend': 0.06459782267230717}
2018-09-18 18:29:46.655209 Found interval {'miny': 236, 'maxy': 241, 'amplitude': 0.89861752271259, 'center': 239, 'trend': 0.012345215494800226}
2018-09-18 18:29:46.907277 Found interval {'miny': 237, 'maxy': 242, 'amplitude': 1.0653103864892681, 'center': 240, 'trend': 0.007118141713252786}
2018-09-18 18:29:49.428148 Found interval {'miny': 229, 'maxy': 234, 'amplitude': 1.1968986882292965, 'center': 232, 'trend': -0.005401367143547902}
2018-09-18 18:29:51.706311 Found interval {'miny': 233, 'maxy': 243, 'amplitude': 1.0147951930574244, 'center': 240, 'trend': -0.009243279138395129}
2018-09-18 18:29:51.959127 Found interval {'miny': 233, 'maxy': 243, 'amplitude': 1.0679605893034596, 'center': 240, 'trend': -0.010854916148064601}
2018-09-18 18:29:52.213741 Found interval {'miny': 215, 'maxy': 224, 'amplitude': 1.1220417759193362, 'center': 221, 'trend': -0.011022064753574461}
2018-09-18 18:29:52.465935 Found interval {'miny': 232, 'maxy': 243, 'amplitude': 1.1007862139464955, 'center': 240, 'trend': -0.004680965244458349}
2018-09-18 18:29:52.726621 Found interval {'miny': 232, 'maxy': 245, 'amplitude': 0.8904915781039282, 'center': 241, 'trend': -0.0009540478877396088}
2018-09-18 18:29:52.979904 Found interval {'miny': 212, 'maxy': 220, 'amplitude': 0.9296436028712667, 'center': 218, 'trend': 0.0008254960776810969}
2018-09-18 18:29:55.963696 Found interval {'miny': 249, 'maxy': 259, 'amplitude': 0.4863846793603327, 'center': 256, 'trend': 0.0026836071184149156}
2018-09-18 18:29:57.447701 Found interval {'miny': 226, 'maxy': 233, 'amplitude': 0.6562675962335325, 'center': 231, 'trend': -0.012313472709745756}
2018-09-18 18:29:57.705053 Found interval {'miny': 227, 'maxy': 235, 'amplitude': 0.8527953875222695, 'center': 233, 'trend': -0.013187385376697976}
2018-09-18 18:29:58.953044 Found interval {'miny': 231, 'maxy': 241, 'amplitude': 1.092884158235132, 'center': 238, 'trend': -0.018019706101957206}
2018-09-18 18:29:59.204326 Found interval {'miny': 231, 'maxy': 243, 'amplitude': 0.8408755901692571, 'center': 240, 'trend': -0.024132744709712196}
