start,miny,maxy,center,trend,amplitude
227,238,265,257,1.0653739508662593e-06,0.001583595050872668
228,240,269,261,-1.2080183703423869e-06,0.0017316787348078417
240,241,256,251,-2.976402052160541e-05,0.0018771505193834802
241,242,257,251,-3.476686459266806e-05,0.001765977167949836
242,243,259,253,-3.6536688922483246e-05,0.0018732433126118523
250,254,270,267,-3.1710553937387746e-05,0.0007926015989137815
251,256,272,269,-2.8935967757954645e-05,0.0007255864831650729
252,258,276,271,-2.7644592256182175e-05,0.0008463005024691596
349,350,355,352,2.429361615763564e-05,0.0006111250933441033
350,351,357,354,2.5698147199265276e-05,0.0007402689502984287
351,352,361,357,2.5501949936949985e-05,0.0007538065344939495
352,353,362,358,2.225344582422511e-05,0.0006681089294070539
360,361,385,382,9.379386980348529e-06,0.00114541890642757
361,362,384,382,7.1203686645315245e-06,0.0011162051425451323
362,363,384,382,1.2453518417188237e-05,0.0010858460876306975
363,364,369,367,9.547752448426666e-06,0.001237930429526511
364,365,369,367,1.276064278412219e-05,0.001291428183302893
365,366,369,367,1.0724915507734856e-05,0.0013538279058747146
376,377,385,382,9.379386980348529e-06,0.0011454189064275732
377,378,384,382,7.1203686645315245e-06,0.001116205142545133
378,379,384,382,1.2453518417188237e-05,0.0010858460876307073
