start,miny,maxy,center,trend,amplitude
232,233,243,238,1.2241598492967147e-05,0.0015233238195468948
238,239,255,250,-3.247115070910564e-06,0.0012908923745131827
239,240,256,251,-4.735679627955676e-06,0.00107305906311883
240,241,258,253,-5.44588080241438e-06,0.0008588349766184612
261,262,277,271,-1.2614143722086561e-05,0.0007071212146750293
262,263,279,273,-1.2100523696350844e-05,0.0007946287827521343
264,265,281,274,-1.1964326429135954e-05,0.000900191380779911
266,267,285,278,-1.318195850684965e-05,0.0008624099604765408
267,268,285,278,-1.2917788280622853e-05,0.0008239188056466545
299,300,316,310,-6.04032198297762e-06,0.000430955614831058
300,301,317,312,-5.748890973773832e-06,0.0004337551861246844
338,339,349,344,-2.3077713705972884e-05,0.0006114385090720182
339,340,351,346,-2.247387100781315e-05,0.0009004339148077194
340,341,352,347,-2.465503008005293e-05,0.0008058926018552529
354,355,371,367,-2.3120901116109024e-05,0.0005086415767786159
351,356,371,367,-3.3572644968584816e-05,0.000502454795173262
352,356,372,368,-3.255426287588897e-05,0.0004997343955753891
362,365,382,377,5.916259111961207e-06,0.00038610913866026685
371,372,378,376,-2.1140523074436535e-05,0.0008252427064174724
372,373,385,379,-8.148392078978102e-06,0.001651235622650152
380,381,396,392,1.1667485817205147e-05,0.0015214551145785588
385,390,406,402,2.0858986397900052e-05,0.0009381338969512235
387,394,413,408,4.009856099766516e-05,0.001170368362805305
388,398,422,416,4.5247865692938974e-05,0.0013410578453619756
397,403,421,418,5.194993961414762e-05,0.0005270633670687059
403,404,414,409,4.502097910013993e-05,0.0012967867853097771
404,405,416,410,4.713392755588791e-05,0.0014568682667194391
405,406,415,410,4.328263141226883e-05,0.0014562136946713218
406,407,418,413,5.0867255729554624e-05,0.002173866411843245
407,408,421,416,5.93990588564915e-05,0.002468402864057869
409,410,425,420,5.645739211567987e-05,0.0018987276930943686
410,411,428,423,5.117971132024504e-05,0.0014492797606017254
411,412,435,429,4.694510839595409e-05,0.0011397581009383387
412,413,435,429,4.656870961254718e-05,0.0009531701003441264
413,414,430,425,5.234003964756956e-05,0.0009202399053517341
430,431,438,435,-3.409095032616484e-05,0.0009159450876740644
440,441,457,452,-5.721900478846784e-06,0.003107045165719512
441,442,463,457,-8.698203422518126e-06,0.002005196550360548
462,463,471,466,-2.050943388971104e-05,0.0035681330162842975
463,464,472,467,-2.465818040075162e-05,0.0037085127108792025
482,488,501,498,3.5309345465113436e-05,0.002886370124096717
515,526,553,545,1.0653739508662593e-06,0.001583595050872668
516,528,557,549,-1.2080183703423869e-06,0.0017316787348078417
528,529,544,539,-2.976402052160541e-05,0.0018771505193834802
529,530,545,539,-3.476686459266806e-05,0.001765977167949836
530,531,547,541,-3.6536688922483246e-05,0.0018732433126118523
