start,miny,maxy,center,trend,amplitude
2018.10.22 19:20:00,2018.10.22 19:25:00,2018.10.22 20:15:00,2018.10.22 19:50:00,1.2241598492967147e-05,0.0015233238195468948
2018.10.22 19:50:00,2018.10.22 19:55:00,2018.10.22 21:15:00,2018.10.22 20:50:00,-3.247115070910564e-06,0.001290892374513183
2018.10.22 19:55:00,2018.10.22 20:00:00,2018.10.22 21:20:00,2018.10.22 20:55:00,-4.735679627955676e-06,0.0010730590631188302
2018.10.22 20:00:00,2018.10.22 20:05:00,2018.10.22 21:30:00,2018.10.22 21:05:00,-5.44588080241438e-06,0.0008588349766184613
2018.10.22 21:45:00,2018.10.22 21:50:00,2018.10.22 23:05:00,2018.10.22 22:35:00,-1.2614143722086561e-05,0.0007071212146750293
2018.10.22 21:50:00,2018.10.22 21:55:00,2018.10.22 23:15:00,2018.10.22 22:45:00,-1.2100523696350846e-05,0.0007946287827521343
2018.10.22 22:00:00,2018.10.22 22:05:00,2018.10.22 23:25:00,2018.10.22 22:50:00,-1.1964326429135954e-05,0.0009001913807799109
2018.10.22 22:10:00,2018.10.22 22:15:00,2018.10.22 23:45:00,2018.10.22 23:10:00,-1.318195850684965e-05,0.0008624099604765407
2018.10.22 22:15:00,2018.10.22 22:20:00,2018.10.22 23:45:00,2018.10.22 23:10:00,-1.2917788280622853e-05,0.0008239188056466545
2018.10.23 00:55:00,2018.10.23 01:00:00,2018.10.23 02:20:00,2018.10.23 01:50:00,-6.04032198297762e-06,0.000430955614831058
2018.10.23 01:00:00,2018.10.23 01:05:00,2018.10.23 02:25:00,2018.10.23 02:00:00,-5.748890973773833e-06,0.0004337551861246844
2018.10.23 04:10:00,2018.10.23 04:15:00,2018.10.23 05:05:00,2018.10.23 04:40:00,-2.3077713705972884e-05,0.0006114385090720182
2018.10.23 04:15:00,2018.10.23 04:20:00,2018.10.23 05:15:00,2018.10.23 04:50:00,-2.247387100781315e-05,0.0009004339148077193
2018.10.23 04:20:00,2018.10.23 04:25:00,2018.10.23 05:20:00,2018.10.23 04:55:00,-2.465503008005293e-05,0.0008058926018552528
2018.10.23 05:30:00,2018.10.23 05:35:00,2018.10.23 06:55:00,2018.10.23 06:35:00,-2.3120901116109024e-05,0.000508641576778616
2018.10.23 05:15:00,2018.10.23 05:40:00,2018.10.23 06:55:00,2018.10.23 06:35:00,-3.3572644968584816e-05,0.000502454795173262
2018.10.23 05:20:00,2018.10.23 05:40:00,2018.10.23 07:00:00,2018.10.23 06:40:00,-3.255426287588897e-05,0.0004997343955753891
2018.10.23 06:10:00,2018.10.23 06:25:00,2018.10.23 07:50:00,2018.10.23 07:25:00,5.916259111961208e-06,0.0003861091386602669
2018.10.23 06:55:00,2018.10.23 07:00:00,2018.10.23 07:30:00,2018.10.23 07:20:00,-2.1140523074436532e-05,0.0008252427064174724
2018.10.23 07:00:00,2018.10.23 07:05:00,2018.10.23 08:05:00,2018.10.23 07:35:00,-8.148392078978102e-06,0.001651235622650152
2018.10.23 07:40:00,2018.10.23 07:45:00,2018.10.23 09:00:00,2018.10.23 08:40:00,1.1667485817205147e-05,0.0015214551145785588
2018.10.23 08:05:00,2018.10.23 08:30:00,2018.10.23 09:50:00,2018.10.23 09:30:00,2.085898639790005e-05,0.0009381338969512236
2018.10.23 08:15:00,2018.10.23 08:50:00,2018.10.23 10:25:00,2018.10.23 10:00:00,4.009856099766516e-05,0.001170368362805305
2018.10.23 08:20:00,2018.10.23 09:10:00,2018.10.23 11:10:00,2018.10.23 10:40:00,4.5247865692938974e-05,0.0013410578453619756
2018.10.23 09:05:00,2018.10.23 09:35:00,2018.10.23 11:05:00,2018.10.23 10:50:00,5.194993961414762e-05,0.0005270633670687059
2018.10.23 09:35:00,2018.10.23 09:40:00,2018.10.23 10:30:00,2018.10.23 10:05:00,4.502097910013993e-05,0.0012967867853097774
2018.10.23 09:40:00,2018.10.23 09:45:00,2018.10.23 10:40:00,2018.10.23 10:10:00,4.713392755588791e-05,0.0014568682667194393
2018.10.23 09:45:00,2018.10.23 09:50:00,2018.10.23 10:35:00,2018.10.23 10:10:00,4.328263141226883e-05,0.0014562136946713216
2018.10.23 09:50:00,2018.10.23 09:55:00,2018.10.23 10:50:00,2018.10.23 10:25:00,5.086725572955462e-05,0.002173866411843245
2018.10.23 09:55:00,2018.10.23 10:00:00,2018.10.23 11:05:00,2018.10.23 10:40:00,5.9399058856491504e-05,0.0024684028640578693
2018.10.23 10:05:00,2018.10.23 10:10:00,2018.10.23 11:25:00,2018.10.23 11:00:00,5.645739211567987e-05,0.0018987276930943688
2018.10.23 10:10:00,2018.10.23 10:15:00,2018.10.23 11:40:00,2018.10.23 11:15:00,5.1179711320245035e-05,0.0014492797606017256
2018.10.23 10:15:00,2018.10.23 10:20:00,2018.10.23 12:15:00,2018.10.23 11:45:00,4.694510839595409e-05,0.0011397581009383387
2018.10.23 10:20:00,2018.10.23 10:25:00,2018.10.23 12:15:00,2018.10.23 11:45:00,4.656870961254718e-05,0.0009531701003441264
2018.10.23 10:25:00,2018.10.23 10:30:00,2018.10.23 11:50:00,2018.10.23 11:25:00,5.234003964756956e-05,0.000920239905351734
2018.10.23 11:50:00,2018.10.23 11:55:00,2018.10.23 12:30:00,2018.10.23 12:15:00,-3.4090950326164835e-05,0.0009159450876740644
2018.10.23 12:40:00,2018.10.23 12:45:00,2018.10.23 14:05:00,2018.10.23 13:40:00,-5.7219004788467835e-06,0.003107045165719512
2018.10.23 12:45:00,2018.10.23 12:50:00,2018.10.23 14:35:00,2018.10.23 14:05:00,-8.698203422518126e-06,0.0020051965503605483
2018.10.23 14:30:00,2018.10.23 14:35:00,2018.10.23 15:15:00,2018.10.23 14:50:00,-2.0509433889711042e-05,0.003568133016284297
2018.10.23 14:35:00,2018.10.23 14:40:00,2018.10.23 15:20:00,2018.10.23 14:55:00,-2.4658180400751622e-05,0.0037085127108792025
2018.10.23 16:10:00,2018.10.23 16:40:00,2018.10.23 17:45:00,2018.10.23 17:30:00,3.530934546511344e-05,0.0028863701240967174
2018.10.23 18:55:00,2018.10.23 19:50:00,2018.10.23 22:05:00,2018.10.23 21:25:00,1.0653739508662593e-06,0.001583595050872668
2018.10.23 19:00:00,2018.10.23 20:00:00,2018.10.23 22:25:00,2018.10.23 21:45:00,-1.2080183703423869e-06,0.0017316787348078415
2018.10.23 20:00:00,2018.10.23 20:05:00,2018.10.23 21:20:00,2018.10.23 20:55:00,-2.976402052160541e-05,0.00187715051938348
2018.10.23 20:05:00,2018.10.23 20:10:00,2018.10.23 21:25:00,2018.10.23 20:55:00,-3.476686459266806e-05,0.0017659771679498359
2018.10.23 20:10:00,2018.10.23 20:15:00,2018.10.23 21:35:00,2018.10.23 21:05:00,-3.653668892248325e-05,0.0018732433126118523
