start,miny,maxy,center,trend,amplitude
2018.10.23 18:55:00,2018.10.23 19:50:00,2018.10.23 22:05:00,2018.10.23 21:25:00,1.0653739508662593e-06,0.001583595050872668
2018.10.23 19:00:00,2018.10.23 20:00:00,2018.10.23 22:25:00,2018.10.23 21:45:00,-1.2080183703423869e-06,0.0017316787348078415
2018.10.23 20:00:00,2018.10.23 20:05:00,2018.10.23 21:20:00,2018.10.23 20:55:00,-2.976402052160541e-05,0.00187715051938348
2018.10.23 20:05:00,2018.10.23 20:10:00,2018.10.23 21:25:00,2018.10.23 20:55:00,-3.476686459266806e-05,0.0017659771679498359
2018.10.23 20:10:00,2018.10.23 20:15:00,2018.10.23 21:35:00,2018.10.23 21:05:00,-3.653668892248325e-05,0.0018732433126118523
2018.10.23 20:50:00,2018.10.23 21:10:00,2018.10.23 22:30:00,2018.10.23 22:15:00,-3.1710553937387746e-05,0.0007926015989137815
2018.10.23 20:55:00,2018.10.23 21:20:00,2018.10.23 22:40:00,2018.10.23 22:25:00,-2.8935967757954645e-05,0.0007255864831650728
2018.10.23 21:00:00,2018.10.23 21:30:00,2018.10.23 23:00:00,2018.10.23 22:35:00,-2.764459225618217e-05,0.0008463005024691596
2018.10.24 05:05:00,2018.10.24 05:10:00,2018.10.24 05:35:00,2018.10.24 05:20:00,2.429361615763564e-05,0.0006111250933441032
2018.10.24 05:10:00,2018.10.24 05:15:00,2018.10.24 05:45:00,2018.10.24 05:30:00,2.569814719926528e-05,0.0007402689502984287
2018.10.24 05:15:00,2018.10.24 05:20:00,2018.10.24 06:05:00,2018.10.24 05:45:00,2.5501949936949985e-05,0.0007538065344939495
2018.10.24 05:20:00,2018.10.24 05:25:00,2018.10.24 06:10:00,2018.10.24 05:50:00,2.225344582422511e-05,0.0006681089294070539
2018.10.24 06:00:00,2018.10.24 06:05:00,2018.10.24 08:00:00,2018.10.24 07:50:00,9.379386980348527e-06,0.00114541890642757
2018.10.24 06:05:00,2018.10.24 06:10:00,2018.10.24 08:00:00,2018.10.24 07:50:00,7.1203686645315245e-06,0.0011162051425451325
2018.10.24 06:10:00,2018.10.24 06:15:00,2018.10.24 08:00:00,2018.10.24 07:50:00,1.2453518417188236e-05,0.0010858460876306977
2018.10.24 06:15:00,2018.10.24 06:20:00,2018.10.24 06:45:00,2018.10.24 06:35:00,9.547752448426666e-06,0.0012379304295265109
2018.10.24 06:20:00,2018.10.24 06:25:00,2018.10.24 06:45:00,2018.10.24 06:35:00,1.276064278412219e-05,0.001291428183302893
2018.10.24 06:25:00,2018.10.24 06:30:00,2018.10.24 06:45:00,2018.10.24 06:35:00,1.0724915507734856e-05,0.0013538279058747144
2018.10.24 07:20:00,2018.10.24 07:25:00,2018.10.24 08:00:00,2018.10.24 07:50:00,9.379386980348527e-06,0.0011454189064275732
2018.10.24 07:25:00,2018.10.24 07:30:00,2018.10.24 08:00:00,2018.10.24 07:50:00,7.1203686645315245e-06,0.001116205142545133
2018.10.24 07:30:00,2018.10.24 07:35:00,2018.10.24 08:00:00,2018.10.24 07:50:00,1.2453518417188236e-05,0.0010858460876307073
