start,miny,maxy,center,trend,amplitude
2018.10.24 05:05:00,2018.10.24 05:10:00,2018.10.24 05:35:00,2018.10.24 05:20:00,2.429361615763564e-05,0.0006111250933441032
2018.10.24 05:10:00,2018.10.24 05:15:00,2018.10.24 05:45:00,2018.10.24 05:30:00,2.569814719926528e-05,0.0007402689502984287
2018.10.24 05:15:00,2018.10.24 05:20:00,2018.10.24 06:05:00,2018.10.24 05:45:00,2.5501949936949985e-05,0.0007538065344939495
2018.10.24 05:20:00,2018.10.24 05:25:00,2018.10.24 06:10:00,2018.10.24 05:50:00,2.225344582422511e-05,0.0006681089294070539
