start,miny,maxy,center,trend,amplitude
232,233,243,238,1.2241598492967147e-05,0.0015233238195468948
238,239,255,250,-3.247115070910564e-06,0.0012908923745131827
239,240,256,251,-4.735679627955676e-06,0.00107305906311883
240,241,258,253,-5.44588080241438e-06,0.0008588349766184612
261,262,277,271,-1.2614143722086561e-05,0.0007071212146750293
262,263,279,273,-1.2100523696350844e-05,0.0007946287827521343
264,265,281,274,-1.1964326429135954e-05,0.000900191380779911
266,267,285,278,-1.318195850684965e-05,0.0008624099604765408
267,268,285,278,-1.2917788280622853e-05,0.0008239188056466545
