start,miny,maxy,center,trend,amplitude,minmaxamplitude,last_point,isgood,state,mina,maxa
256,257,263,260,-0.00010333333296622017,0.0004534176494228478,0.0003561904761903811,1.176550833333333,False,0,-0.00011607142857148922,0.0002401190476188919
257,258,266,262,0.00012999999926807424,0.0008171925109889355,0.00035394285714286156,1.1766925000000001,False,0,-0.00010358571428571217,0.0002503571428571494
263,268,279,277,-0.0005799999349615945,0.00042216997778359846,0.0003243428571428541,1.1761650000000003,False,0,-9.648571428507501e-05,0.00022785714285777914
276,277,284,281,-0.0009216664056913962,0.0004933447275376025,0.0002269333333331769,1.1746266666666663,False,0,-0.00010359999999992375,0.00012333333333325314
287,288,305,299,-0.0006666665679009654,0.0005178902016525208,0.00044920000000006513,1.173624166666667,False,0,-0.00012908095238109318,0.0003201190476189719
289,290,313,308,-0.0006824998940296932,0.0004488756787888799,0.00044730000000003933,1.1734224999999998,False,0,-0.0001273000000001634,0.00031999999999987594
308,309,316,313,0.0003366666539453329,0.0008162249487139203,0.0003311999999995052,1.1733008333333328,False,0,-0.0001253666666671549,0.00020583333333235032
309,310,317,314,0.0005033332908270725,0.0008149535895804131,0.0002182761904760655,1.1734091666666664,False,0,-9.410952380980664e-05,0.00012416666666625886
310,311,318,315,0.0004091666438318179,0.0005907714291431913,0.0002421571428570335,1.1733783333333327,True,-1,-9.358571428520258e-05,0.00014857142857183092
306,315,337,331,-0.00017749999813493366,0.0005781452168762751,0.000288642857142607,1.1730025000000004,False,0,-0.00010114285714304394,0.00018749999999956302
319,320,337,332,0.0011499994930433855,0.001104908994368809,0.0005350000000003518,1.1744150000000004,True,-1,-8.571428571464424e-05,0.0004492857142857076
320,321,336,331,0.001232499375922484,0.0012794940160164294,0.0004811642857143994,1.1746025000000002,True,-1,-3.1521428571403855e-05,0.00044964285714299557
321,322,337,332,0.0012133327379192469,0.0011520994772401061,0.0004794666666667791,1.1747791666666667,False,0,-3.863333333355536e-05,0.0004408333333332237
322,323,346,340,0.0010833329095282789,0.0006790056908465145,0.0005434285714285459,1.1748641666666662,True,-1,-8.854761904776966e-05,0.0004548809523807762
332,343,370,362,0.0008558331243830176,0.0007333240349423493,0.0003134999999994026,1.1754541666666671,False,0,-0.0001608809523800847,0.00015261904761931788
343,344,352,347,-0.00031416665633134816,0.0008140110707092622,0.00015080000000045502,1.1744691666666662,False,0,-7.996666666676866e-05,7.083333333368635e-05
344,345,357,352,-5.000000000435179e-06,0.0014367466074739113,0.00038674285714307644,1.1746374999999998,False,0,-0.00010424285714289106,0.0002825000000001854
345,346,359,353,0.00040499997785683795,0.0019142119871470688,0.0004152000000000555,1.1748875,False,0,-0.0001527000000002232,0.0002624999999998323
351,352,367,362,0.0009224997383154269,0.001447199187896813,0.00045668571428564064,1.1760275,True,-1,-0.0001606142857142867,0.00029607142857135393
352,353,369,364,0.000667499900864248,0.0014289197214929193,0.0005125714285716398,1.1760300000000004,False,0,-0.00019650000000015488,0.00031607142857148496
357,362,378,374,0.0009758330235880293,0.0014778404291468815,0.00043096190476165307,1.1767341666666669,True,-1,-0.00013631904761878476,0.0002946428571428683
370,371,379,376,-0.0002141666633937609,0.0021517993461797912,0.0020532571428567084,1.1750816666666661,False,0,-0.0010384952380955781,0.00101476190476113
379,380,389,384,-0.0013158325739148571,0.003213825149025407,0.0004991523809523724,1.1747708333333335,False,0,-9.784285714280471e-05,0.00040130952380956764
380,381,398,393,-0.0013799991239762718,0.0030221661771042204,0.0004723714285714875,1.1745675000000002,False,0,-0.00011987142857106559,0.0003525000000004219
388,389,396,393,1.2500000000208005e-05,0.0025244111273995356,0.0006505714285714426,1.1741225000000004,False,0,-0.00015057142857105354,0.000500000000000389
389,390,398,395,0.0004958332926977132,0.002857550772349574,0.00018900000000055428,1.1743266666666659,False,0,-4.316666666704272e-05,0.00014583333333351156
